file,targetPOS,followingPOS,followingWord
male,NN,VBZ,isnt
male,JJ,NN,selfhater
male,NN,HT,toldyou
male,NN,IN,If
male,NN,NNP,Science
male,NNP,VBD,called
male,NNP,IN,in
male,JJ,NN,restroom
male,NN,PRP,you
male,NN,PRP,you
male,NNP,VBZ,turns
male,NN,PRP,they
male,NN,PRP,Our
male,NNP,IN,of
male,NNP,,
male,NNP,VB,come
male,NNP,IN,in
male,NNP,NN,pig
male,NNP,VBZ,hes
male,NNP,IN,until
male,NN,VBD,quit
male,NN,PRP,It
male,NNP,NN,teacher
male,NN,VBD,Did
male,NNP,CC,or
male,NNP,VBP,Im
male,NN,RB,therefore
male,NNP,NN,athlete
male,NN,NN,MMA
male,NNP,NN,MMA
male,NN,IN,So
male,NN,PRP,They
male,NNP,NNP,bathrooms
male,NNP,FW,de
male,NNP,IN,with
male,NN,IN,with
male,NN,RB,not
male,JJ,UH,x
male,NNP,NN,stripper
male,NNP,NNS,strippers
male,NNP,VBP,Im
male,NNP,CC,and
male,NNP,IN,so
male,NNP,NNP,nicki
male,NNP,NN,friend
male,NNP,NN,friend
male,NNP,CC,or
male,NN,CC,and
male,NNP,NNP,male
male,NNP,WP,who
male,NNP,CC,and
male,NNP,RB,so
male,NNP,NN,comedian
male,NNP,VBD,beat
male,NNP,NN,sex
male,NN,PRP,one
male,NNP,NNP,MRA
male,NNP,IN,in
male,NN,VBG,identifying
male,NNP,CC,and
male,NNP,NN,stripper
male,NNP,VBZ,tries
male,NN,PRP,My
male,NNP,NN,athlete
male,NN,NN,athlete
male,NNP,IN,like
male,NNP,NN,pokemon
male,JJ,NN,salandit
male,NNP,IN,in
male,NNP,NNP,The
male,NNP,VBZ,isnt
male,NNP,NNP,membership
male,NNP,IN,in
male,NNP,VBP,have
male,NNP,CC,or
male,JJ,NN,rapper
male,NNP,CC,and
male,NN,IN,with
male,NN,NN,So
male,NNP,NN,player
male,NN,WRB,why
male,NN,DT,The
male,NNP,VBG,changing
male,NNP,NN,doctor
male,NNP,NN,hoe
male,NNP,NN,skeleton
male,NNP,MD,could
male,NNP,NN,context
male,NN,IN,of
male,NNP,VB,carry
male,NNP,NN,comic
male,NNP,NN,account
male,NNP,NN,head
male,NNP,IN,so
male,NN,CC,but
male,JJ,NN,wrestling
male,NNP,WP,who
male,NN,VBZ,has
male,NN,CC,but
male,JJ,NN,contests
male,NNP,CC,or
male,NNP,CC,or
male,JJ,NN,rapper
male,NNP,CC,or
male,JJ,NN,rapper
male,NNP,NNP,rapper
male,NNP,NNP,permanently
male,NNP,MD,would
male,NNP,NNP,ed
male,NNP,DT,a
male,NN,NN,end
male,NNP,NNP,Chikorita
male,NNP,NN,anime
male,NNP,NN,friend
male,NNP,NN,figure
male,NNP,IN,like
male,NN,IN,so
male,NNP,VBZ,calls
male,NN,PRP,I
male,NNP,CC,or
male,JJ,NN,period
male,NNP,PRP,you
male,NNP,CC,and
male,NNP,CC,or
male,NN,CC,And
male,NNP,MD,can
male,NN,VB,Dont
male,NNP,NNP,panda
male,NNP,NNP,chauvinist
male,NNP,NN,version
male,NNP,NNP,example
male,NNP,VBP,are
male,NN,MD,youll
male,NNP,TO,to
male,JJ,NNS,trans
male,NNP,CC,and
male,NN,VB,fuck
male,JJ,NNS,thats
male,NN,IN,on
male,NN,PRP,They
male,NNP,NNP,wasserman
male,NNP,DT,any
male,NN,PRP,i
male,NNP,PRP,its
male,NNP,NNP,HH
male,NN,VBZ,its
male,NN,NNP,Mack
male,NN,IN,on
male,NNP,WP,who
male,NNP,CC,or
male,NN,IN,on
male,NN,VBZ,wants
male,NN,VBG,Taking
male,NNP,NNP,Nazi
male,NN,IN,on
male,NNP,NN,bracket
male,JJ,NNS,parts
male,NN,VBZ,wants
male,NNP,IN,in
male,NNP,NN,body
male,NNP,CC,or
male,JJ,DT,these
male,NNP,NNP,kid
male,NN,PRP,He
male,NNP,CC,and
male,NN,NN,classmates
male,NN,NNP,Emma
male,NN,NNP,Diesel
male,NNP,CC,and
male,NN,UH,Goddamn
male,NN,VBZ,is
male,NNS,HT,simple
male,NNP,IN,of
male,NNP,VBP,have
male,NNP,NN,nurse
male,NNS,PRP,his
male,NNP,IN,if
male,NNP,VBZ,is
male,NNP,VBD,named
male,JJ,NN,brain
male,NNP,NNP,brainhow
male,NNP,IN,into
male,JJ,NN,brain
male,NN,CC,but
male,JJ,IN,since
male,NN,PRP,I
male,NN,VB,let
male,NNP,VBG,pounding
male,NN,CC,but
male,NNP,CC,and
male,NNP,NN,body
male,NNP,NNP,protagonist
male,NN,RB,then
male,NN,VB,use
male,NNP,NNP,god
male,NNP,NN,judge
male,NNP,CC,or
male,VBD,DT,the
male,NN,RB,not
male,NNP,VBZ,defeats
male,NN,IN,in
male,NNP,MD,could
male,NNP,CC,and
male,JJ,CD,one
male,NNP,DT,no
male,NN,CC,and
male,NNP,UH,hahaha
male,NNP,NNP,mantis
male,NNP,JJ,pregnant
male,NN,MD,can
male,NN,PRP,he
male,NNP,NN,point
male,NNP,NNS,tears
male,NNP,NNP,a
male,NNP,UH,lmao
male,NNP,NNP,plt
male,NNP,DT,this
male,NNP,PRP,one
male,NNP,NN,prostitute
male,JJ,NN,neighbor
male,NNP,NN,producer
male,NN,VBZ,Theres
male,NNP,NN,blogger
male,NNP,TO,to
male,NN,MD,should
male,NNP,CC,and
male,NN,TO,to
male,NNP,NN,stripper
male,NN,PRP,u
male,NN,VBD,got
male,NNP,NN,dominance
male,NNP,NN,stripper
male,NN,NN,gay
male,NN,MD,Id
male,JJ,NNS,fishes
male,NNP,NN,athlete
male,JJ,NN,friend
male,NNP,NN,nurse
male,NNP,WP,whom
male,NNP,NN,body
male,NNP,RB,not
male,NNP,IN,without
male,NNP,IN,in
male,NNP,NNP,Chihuahua
male,NNP,NN,coach
male,NN,PRP,He
male,NNP,CC,and
male,NN,MD,can
male,NNP,NNP,son
male,NNP,NNP,son
male,NNP,NNP,cat
male,NNP,VBD,made
male,NNP,NN,version
male,NNP,VBD,made
male,NNP,VBZ,calls
male,NNP,NNP,httpstcoqqSLXrGLIR
male,NN,PRP,He
male,NNP,NNP,RampB
male,JJ,NN,transgender
male,NNP,NNP,Pit
male,NNP,NNP,Hormone
male,NNP,VBZ,looks
male,NNP,NNP,English
male,NNP,NNP,Chihuahua
male,NNP,IN,en
male,NNP,NNP,zorra
male,NNP,TO,to
male,NN,CC,but
male,NNS,VB,be
male,NNP,NN,vocal
male,NNP,NNP,vocal
male,NN,NN,vocal
male,NNP,VBD,made
male,NNP,NNP,son
male,NNP,NNP,son
male,NN,PRP,He
male,NNP,NNP,English
male,NNP,CC,and
male,JJ,VBG,having
male,NNP,NNP,Chihuahua
male,NNP,NN,version
male,NN,PRP,He
male,NNP,CC,and
male,NNP,CC,or
male,NN,IN,With
male,NNP,CC,and
male,JJ,NNS,organs
male,NNP,VBZ,calls
male,NNP,NNP,adult
male,NNP,NNP,streaker
male,NNP,NNP,streaker
male,NNP,VBZ,calls
male,NNP,WDT,that
male,NNP,NNP,Pit
male,NNP,VBZ,is
male,NNP,VBZ,calls
male,NNP,VBZ,calls
male,NN,NN,teacher
male,NNP,NN,student
male,NNP,VBD,made
male,NNP,NNP,English
male,NNP,NN,shot
male,NNP,VB,get
male,NNP,VBZ,calls
male,NNP,NN,name
male,NNP,NNP,English
male,NNP,PRP,I
male,NNP,NN,coach
male,NN,NN,attempt
male,NN,PRP,He
male,NNP,VBG,speaking
male,NNP,NNP,Pit
male,NN,PRP,He
male,NNP,JJ,orange
male,NN,NNS,cats
male,NNP,NN,Rat
male,NNP,NNP,MidLife
male,NNP,VBZ,calls
male,NNP,NNP,Pit
male,NNP,NN,vote
male,NNP,NN,ballet
male,NNP,NNP,Pit
male,NNP,VBG,grooming
male,NNP,VBZ,calls
male,NNP,VBZ,calls
male,NNP,NN,feminist
male,NNP,PRP,I
male,NNP,NNS,deities
male,NNP,VBD,controlled
male,HT,NN,now
male,NNP,NN,blogger
male,NN,PRP,He
male,NNP,NNP,Mel
male,NNP,NN,blogger
male,NNP,NNP,chiropractor
male,NNP,VBZ,calls
male,NNP,NN,mentorship
male,NNP,NN,actor
male,NN,PRP,your
male,NNP,NNP,hole
male,NNP,NN,blogger
male,NNS,IN,in
male,NNP,VBD,dominated
male,NNP,NNP,httpstcoKUoQDfcLDA
male,NNP,NN,model
male,JJ,NN,transgender
male,NNP,VBZ,calls
male,NNP,NNP,Pit
male,NNP,VBZ,calls
male,NNP,VBG,speaking
male,NNP,NNP,Chihuahua
male,NNS,CC,and
male,NN,PRP,He
male,NNP,NN,figure
male,NNP,NNP,Pit
male,NNP,WRB,y
male,NN,VB,fuck
male,NNP,NN,figure
male,NNP,IN,from
male,NNP,NNP,Roul
male,NNP,JJ,Domestic
male,NNP,NNP,Chihuahua
male,NNP,NN,cat
male,NNP,NN,cat
male,NNP,NN,cat
male,NNP,NN,cat
male,NNP,NN,cat
male,NN,VBG,running
male,NNP,CC,and
male,NN,IN,in
male,NN,VBP,are
male,NNP,NNP,di
male,NN,NN,rapper
male,NNP,NNP,rappers
male,NNP,VBZ,calls
male,NNP,NN,lead
male,NN,NN,character
male,NNP,NNP,leads
male,NNP,NN,stripper
male,NNP,VBZ,calls
male,NNP,NNP,Escort
male,NNP,VBZ,calls
male,NNP,NNP,Escort
male,NN,DT,a
male,NNP,NNP,ato
male,NN,JJ,platonic
male,NNP,NN,Rat
male,NNP,NNP,httpstcoKUoQDfcLDA
male,NNP,NN,Vocalist
male,NNP,NNP,colleague
male,NNP,NN,Sex
male,NN,PRP,He
male,NNP,NN,figure
male,NNP,IN,if
male,JJ,PRP,My
male,NN,CC,but
male,NNP,NNP,rapper
male,NN,PRP,He
male,NNP,NNP,taylor
male,NNP,CC,and
male,NNP,VBG,speaking
male,NN,JJ,black
male,NNP,NNP,Actor
male,NN,JJ,brown
male,NN,JJ,orange
male,NNP,NNP,amp
male,NN,IN,of
male,NNP,NN,horse
male,NNP,NNP,httpstcoKUoQDfcLDA
male,NNP,NNP,httpstcoKUoQDfcLDA
male,NNP,NNP,colleague
male,NNP,NNP,httpstcoKUoQDfcLDA
male,NN,PRP,He
male,NNP,NNP,educator
male,NNP,NNP,bitmoji
male,NNP,VBZ,calls
male,NNP,IN,per
male,NN,PRP,He
male,NNP,WP,who
male,NNP,NN,cat
male,JJ,NN,fan
male,NNP,NN,fan
male,NNP,NNP,streaker
male,NNP,VBD,collapsed
male,NNP,IN,in
male,NNP,CC,or
male,NN,NN,hello
male,NN,PRP,He
male,NNP,CC,and
male,NNP,VBZ,does
male,NNS,VBP,have
male,NNP,NNP,MidLife
male,NNP,IN,in
male,NNP,NN,name
male,NNP,NNP,Shih
male,JJ,NN,world
male,NNP,NNP,MidLife
male,NNP,NN,friend
male,NNP,NN,lead
male,NN,NN,character
male,NNP,NNP,leads
male,NN,VBG,winning
male,NNP,NNP,Daytona
male,NNP,NN,strip
male,NNP,VBZ,calls
male,NNP,NNP,Pit
male,NNP,NN,Nurse
male,NNP,NN,transgender
male,NNP,JJ,restroom
male,NN,NN,transgender
male,NNP,NNP,Pit
male,NNP,NN,lead
male,NN,NN,character
male,NNP,NNP,leads
male,NNP,VBZ,calls
male,NNP,VBZ,feels
male,JJ,WRB,why
male,NNP,NNS,hormones
male,NNP,RB,instead
male,NN,PRP,She
male,NNP,RB,so
male,NNP,NN,coach
male,NN,PRP,He
male,NNP,NN,Rat
male,NN,PRP,She
male,NNP,CC,but
male,JJ,DT,This
male,NN,PRP,He
male,NNP,NNP,MidLife
male,NNP,NN,organ
male,JJ,NN,class
male,NNP,NNP,Chihuahua
male,NNP,NNP,httpstcoKUoQDfcLDA
male,NNP,NN,lead
male,NNP,NN,friend
male,NN,PRP,He
male,NNP,NNP,performer
male,NNP,NNP,Sherlock
male,NNP,VBZ,calls
male,NNP,WP,What
male,NNP,NNP,Sherlock
male,NNP,NNP,amp
male,NN,IN,of
male,NN,IN,That
male,NNP,CC,or
male,JJ,NNP,Brain
male,NNP,NNP,English
male,NNP,NNP,Sherlock
male,NNP,NNP,Sherlock
male,NNP,NN,subject
male,NNP,NN,porn
male,NNP,CC,or
male,NN,PRP,I
male,NNP,NNP,Sherlock
male,NN,PRP,He
male,NNP,NNP,Sherlock
male,NNP,CC,or
male,JJ,NNP,Brain
male,NNP,CC,or
male,JJ,NNP,Brain
male,NNP,NNP,Sherlock
male,NNP,NNP,Harem
male,NNP,NNP,Sherlock
male,NNP,PRP,I
male,NNP,CC,or
male,JJ,NNP,Brain
male,NN,PRP,He
male,NNP,NN,hoy
male,NNP,NNP,Sherlock
male,NN,PRP,He
male,NNP,NN,friend
male,NN,PRP,He
male,NNP,TO,to
male,NN,PRP,he
male,NNP,NNP,httpstcoKUoQDfcLDA
male,NNP,NNP,mealybug
male,NNP,VBZ,feels
male,JJ,WRB,why
male,NNP,NNS,hormones
male,NNP,RB,instead
male,NNP,NNP,feminist
male,NNP,NN,whore
male,NNP,NN,celeb
male,NN,PRP,He
male,NNP,NNP,httpstcoKUoQDfcLDA
male,NNP,NNP,Pit
male,NNP,NNP,Chihuahua
male,NNP,NN,child
male,NNP,NN,figure
male,NN,VBZ,gets
male,NNP,PRP,she
male,NNP,NNP,thats
male,NNP,FW,que
male,NNP,NNP,Chauvinist
male,JJ,NN,world
male,NNP,NN,suitor
male,NNP,VBZ,calls
male,NNP,NN,coach
male,NN,PRP,He
male,NNP,NN,strip
male,NNP,CC,and
male,NNP,NN,model
male,NNP,NN,figure
male,NN,PRP,He
male,NN,PRP,He
male,NNP,VBZ,calls
male,NNP,NN,companion
male,NNP,JJ,best
male,NNP,NN,perspective
male,NNP,NN,rapist
male,NNP,VBP,live
male,NNP,JJ,best
male,NNP,NN,perspective
male,NNP,CC,and
male,NNP,NN,e
male,NNP,CC,and
male,NNP,JJ,best
male,NNP,NN,perspective
male,NN,VBG,running
male,NNP,TO,to
male,JJ,NN,wrestling
male,NNP,NN,Rat
male,NNP,NN,friend
male,NNP,NN,victim
male,NNP,IN,into
male,NNP,NN,masseuse
male,NN,PRP,He
male,NNP,NN,plumbing
male,NNP,NNP,Pit
male,NNP,NNP,English
male,NNP,VBZ,thats
male,NNP,IN,into
male,NNP,CC,and
male,JJ,JJ,favorite
male,NNP,NN,artist
male,NN,PRP,He
male,NNP,NNP,Hound
male,NN,PRP,He
male,NNP,NNP,English
male,NNP,WP,who
male,NNP,JJ,blue
male,NNP,NN,artist
male,NNS,PRP,his
male,NNP,IN,if
male,NN,VBP,are
male,NNP,NN,artist
male,NNP,NN,care
male,NNP,NN,Rat
male,NN,PRP,He
male,NNP,NN,violence
male,JJ,NNP,Anglo
male,NN,PRP,He
male,NNP,NNP,Hound
male,NNP,NNP,httpstcoKUoQDfcLDA
male,NNP,NN,end
male,NN,PRP,He
male,NN,PRP,He
male,JJ,NNP,Anglo
male,NNP,VBD,dominated
male,NNP,NNP,English
male,NNP,NN,vote
male,NNP,NN,stripper
male,NNP,NN,Rat
male,NNP,NN,Rat
male,NNP,NN,vote
male,NNP,NNP,voice
male,NNP,VBD,dominated
male,NN,PRP,Id
male,NNP,NNP,jaguar
male,NNP,NN,artist
male,HT,NNS,fucks
male,NNP,NN,model
male,NN,PRP,I
male,NNP,NN,vote
male,NNP,NN,Rat
male,NNP,NNP,cougar
male,NN,NN,everyone
male,NNP,NNP,Love
male,JJ,NN,world
male,NNP,IN,with
male,NNP,NN,voice
male,NNP,CC,and
male,NN,VBG,running
male,NNP,NN,model
male,NNP,CC,or
male,JJ,NN,cyclist
male,NN,WP,who
male,NNP,NNP,amp
male,NNP,NN,prison
male,NNP,VBZ,thats
male,NNP,NN,actor
male,NNP,NNP,English
male,NNP,NN,figure
male,NNP,CC,or
male,NNP,MD,cant
male,NN,IN,without
male,NNP,NNP,Chihuahua
male,NN,PRP,He
male,NNP,NNP,English
male,NNP,VBZ,calls
male,NNP,NN,figure
male,NNP,NNP,httpstcoKUoQDfcLDA
male,NNP,VBZ,calls
male,NN,PRP,He
male,NN,PRP,He
male,NN,RB,Not
male,NNP,NN,patient
male,NNP,PRP,I
male,NN,PRP,I
male,NNP,NNP,httpstcoKUoQDfcLDA
male,NNP,NNP,Chihuahua
male,NN,PRP,He
male,NNP,NNP,httpstcoKUoQDfcLDA
male,HT,NNS,fucks
male,NNP,PRP,I
male,NN,PRP,I
male,NNP,NNP,Chihuahua
male,NN,PRP,He
male,NNP,CC,or
male,JJ,NNP,Ryder
male,NNP,NNP,Pit
male,NNP,NNP,Pit
male,NNP,NNP,English
male,NN,PRP,He
male,NNP,NNP,Chihuahua
male,NNP,VBZ,calls
male,NNP,NNP,English
male,NN,WP,who
male,NN,TO,to
male,NNP,NNP,strippers
male,NNP,NNP,Pit
male,NN,PRP,He
male,NNP,NNP,Golden
male,NN,PRP,He
male,NNP,NNP,English
male,NNP,NN,model
male,NNP,CC,and
male,NN,VBP,have
male,NNP,NNP,Chihuahua
male,NNP,NNP,English
male,NNP,NN,figure
male,NNP,IN,above
male,JJ,NN,cyclist
male,NNP,VBZ,calls
male,NNP,NN,coach
male,NNP,NN,figure
male,NNP,NN,friend
male,NNP,NNP,Shih
male,NN,JJ,orange
male,NN,JJ,brown
male,NN,PRP,He
male,NN,JJ,black
male,HT,NNS,fucks
male,NNP,HT,bareback
male,NNP,NN,sex
male,NN,NN,scientist
male,NNP,IN,than
male,NN,NN,inspite
male,NNP,NNP,English
male,NNP,NN,artist
male,NNP,NN,figure
male,NNP,NNP,amp
male,NN,IN,of
male,NNP,NN,figure
male,NNP,NN,figure
male,NNP,PRP,you
male,NNP,NNP,httpstcoKUoQDfcLDA
male,NNP,NN,figure
male,NNP,VBZ,is
male,NN,VBP,Im
male,NNP,NNP,amp
male,NN,IN,of
male,NN,PRP,He
male,NNP,NN,lead
male,NN,NN,character
male,NNP,NNP,leads
male,NNP,NNP,English
male,NN,PRP,He
male,NNP,NNP,Pit
male,NNP,NNP,Chihuahua
male,NNP,NN,condom
male,NNP,IN,in
male,NN,NN,streamer
male,NNP,NNP,streamer
male,NNP,NNP,jaguar
male,NNP,NNP,English
male,NNP,NN,stripper
male,NNP,NN,idol
male,NN,PRP,He
male,NNP,NN,strip
male,NNP,NNP,Pit
male,NN,IN,From
male,JJ,DT,That
male,NNP,VBZ,calls
male,JJ,NNP,Anglo
male,NNP,NN,artist
male,NNP,NNP,Pit
male,NNP,VBZ,calls
male,NNP,NNP,English
male,NNP,NNP,Chihuahua
male,NNP,VBZ,calls
male,NNP,WRB,y
male,NNP,NN,que
male,NNP,NN,rape
male,NNP,RB,instead
male,NN,PRP,He
male,NN,PRP,He
male,NN,WP,who
male,NNP,NNP,amp
male,NN,NN,wrestling
male,NNP,NN,figure
male,NNP,NN,artist
male,NNP,CC,and
male,JJ,NN,podcast
male,NNP,NN,comedian
male,NN,PRP,He
male,NNP,VBD,terriermixed
male,NN,PRP,I
male,NNP,NNP,Chihuahua
male,NNP,NNP,English
male,NNP,NN,artist
male,NNP,NNP,Pit
male,NNP,VBZ,calls
male,NNP,NNP,African
male,NNP,NNP,Pit
male,NNP,NN,assistant
male,NNP,VBZ,calls
male,NNP,NNP,Pit
male,NNP,VBZ,calls
male,NNP,TO,to
male,NNP,NNP,Extension
male,NN,PRP,He
male,NNP,VBZ,calls
male,NNP,WP,who
male,NNP,VBG,threatening
male,NNP,NNP,MidLife
male,NNP,NN,rape
male,NNP,NNP,httpstcoKUoQDfcLDA
male,NNP,NNP,Shih
male,NNP,NN,blogger
male,NNP,CC,and
male,NN,IN,into
male,NN,RB,Tho
male,NNP,NN,client
male,NNP,NNP,Genitals
male,NNP,NN,name
male,NNP,CC,and
male,NNP,VBG,living
male,JJ,NN,cyclist
male,NN,VBG,running
male,NNP,CC,or
male,NN,PRP,He
male,NNP,NNP,Pit
male,NNS,WDT,that
male,NNP,CC,or
male,NN,IN,at
male,NN,PRP,He
male,NNP,VBZ,calls
male,NNP,NNP,Pit
male,NNP,VBD,dominated
male,NNP,NNP,director
male,NNP,NNP,Pit
male,NN,PRP,He
male,NNP,NN,porn
male,NNP,NNP,Genitals
male,NNP,NNP,amp
male,NN,IN,of
male,NN,PRP,He
male,NN,PRP,He
male,NNP,NNS,fetuses
male,NNP,VBZ,is
male,NNP,NNP,Pit
male,NNP,WP,who
male,NNP,VBZ,calls
male,NNS,WDT,that
male,NNP,NNP,victim
male,NNP,IN,in
male,NNP,NNP,suitor
male,NNP,NN,chauvinist
male,NNP,VBD,dominated
male,NNP,NN,figure
male,NNP,NNP,kitten
male,NNP,IN,for
male,NNP,NN,lead
male,NN,NN,character
male,NNP,NNP,leads
male,NNP,VBD,dominated
male,NNP,NN,porn
male,NNP,CC,or
male,JJ,CC,or
male,NNP,NN,vote
male,NN,PRP,He
male,NN,NN,cabbie
male,NNP,NNP,cabbie
male,NNP,NNP,httpstcoKUoQDfcLDA
male,NNP,VBG,threatening
male,NNP,NN,chauvinist
male,NNP,NN,figure
male,JJ,NN,cyclist
male,NNP,CC,and
male,NN,CC,and
male,NNP,IN,in
male,NNP,VBZ,calls
male,NNP,NN,lead
male,NN,NN,character
male,NNP,NNP,leads
male,NNP,NN,figure
male,NN,PRP,He
male,NN,PRP,He
male,NNP,NN,father
male,JJ,NN,mom
male,NNP,NN,figure
male,NN,PRP,He
male,NN,PRP,He
male,NNP,NN,figure
male,NNS,IN,in
male,NNP,VBD,dominated
male,NNP,NNP,plotline
male,NNP,NN,lead
male,NN,NN,character
male,NNP,NNP,leads
male,NN,VBP,do
male,NNP,NN,idol
male,NNP,NNP,War
male,NNP,VB,come
male,NNP,VBZ,calls
male,NNP,VBZ,calls
male,NNP,VBZ,calls
male,NN,PRP,He
male,NNP,VBZ,calls
male,NN,PRP,He
male,NNP,TO,to
male,NNP,VBZ,calls
male,NNP,VBZ,calls
male,NNP,CC,or
male,NN,NNP,Brain
male,NNP,NNP,MidLife
male,NNP,NN,character
male,NNP,VBZ,calls
male,NNP,VBZ,calls
male,NN,PRP,He
male,NN,PRP,He
male,NNP,NNP,nose
male,NNP,NN,victim
male,NNP,VBZ,calls
male,NN,PRP,He
male,NNP,NN,model
male,JJ,NN,cyclist
male,NNP,TO,to
male,NNP,VBZ,calls
male,NNP,VBD,spit
male,NNP,NN,actor
male,NNP,VBZ,calls
male,NNP,VBZ,calls
male,NNP,VBZ,calls
male,NNP,NN,rape
male,NNP,VBZ,calls
male,NNP,NNP,Pit
male,NN,PRP,He
male,NN,PRP,He
male,NNP,NNP,Pit
male,NNP,NN,character
male,NN,PRP,He
male,NN,VBG,running
male,NN,PRP,He
male,NNP,RB,yet
male,NNP,NNP,MidLife
male,NNP,VBZ,calls
male,NNP,VBZ,calls
male,NN,DT,a
male,NNP,VBZ,calls
male,NNP,VBZ,calls
male,NN,PRP,He
male,NNP,VBG,threatening
male,NNP,VBZ,calls
male,NNP,NNP,English
male,NN,PRP,He
male,NNP,NNP,English
male,NNP,NNP,Pit
male,NNP,VBZ,calls
male,NNP,VBZ,calls
male,NNP,NN,figure
male,NN,CC,or
male,NN,CC,but
male,NNP,NN,figure
male,NNP,NN,victim
male,NNP,NNP,MidLife
male,NNP,NNP,Chihuahua
male,NNP,NNP,English
male,NNP,VBZ,calls
male,NNP,VBZ,calls
male,NNP,NN,coach
male,NNP,VBZ,calls
male,NN,PRP,He
male,NN,MD,Hell
male,NNP,IN,without
male,NNP,VBZ,calls
male,NNP,VBZ,calls
male,NN,PRP,He
male,NNP,NN,cat
male,NNP,NNP,MidLife
male,NNP,IN,from
male,NN,PRP,He
male,NNP,,
male,NNP,NN,figure
male,JJ,NNP,Anglo
male,NNP,NNP,Pit
male,NN,PRP,He
male,NNP,NN,status
male,NNP,NNP,Pit
male,NNP,NN,actor
male,NNP,VBG,threatening
male,NN,PRP,He
male,NNP,NN,victim
male,NNP,IN,without
male,NNP,IN,without
male,NNP,IN,without
male,NNP,NNP,MC
male,NNP,NN,victim
male,NNP,NNP,Chihuahua
male,NNP,NN,exec
male,NNP,NNP,harpie
male,NNP,NN,exec
male,NNP,NN,gym
male,NNP,NN,rape
male,NNP,NNP,Pit
male,NN,PRP,He
male,NN,PRP,He
male,NNP,NNP,laugh
male,NN,PRP,He
male,NNP,JJ,relative
male,NN,PRP,He
male,NN,PRP,He
male,NNP,NNP,confused
male,NNP,NNP,acopia
male,NNP,NN,lead
male,NN,NN,character
male,NNP,NNP,leads
male,NNP,CC,and
male,NN,CC,and
male,NN,PRP,I
male,NN,PRP,He
male,NN,PRP,He
male,NNP,NN,rape
male,NNP,NNP,Pit
male,NNP,NNP,amp
male,NN,IN,of
male,NNP,NNP,Genitals
male,NN,PRP,He
male,NNP,NNP,httpstcoKUoQDfcLDA
male,NN,PRP,He
male,NNP,NNP,Wirehaired
male,NNP,NNP,Chihuahua
male,NN,PRP,He
male,NN,PRP,He
male,NNP,NNP,Pit
male,NN,PRP,I
male,NNP,NNP,Pit
male,NN,PRP,He
male,NNP,NNP,Golden
male,NNS,WDT,that
male,NNP,NN,figure
male,NN,PRP,He
male,NN,PRP,He
male,NNP,NN,rape
male,NNP,NN,figure
male,NNP,NN,rape
male,NNP,NN,lead
male,NN,NN,character
male,NNP,NNP,leads
male,NNP,IN,of
male,NNP,NNP,stripper
male,NN,PRP,He
male,NNP,NNP,httpstcoKUoQDfcLDA
male,NNP,VBZ,thats
male,NNP,VBG,threatening
male,NN,PRP,He
male,NNP,NN,figure
male,NNP,NN,figure
male,NN,PRP,He
male,NNP,NN,figure
male,NN,PRP,He
male,NNP,IN,for
male,NN,PRP,He
male,NN,PRP,He
male,NNP,NN,lead
male,NNP,WP,who
male,NNP,NNP,Pit
male,NN,NNP,Oh
male,NNP,NN,horse
male,HT,NNS,fucks
male,NNP,HT,bareback
male,NNP,NNP,httpstcoKUoQDfcLDA
male,NNP,NN,figure
male,NN,PRP,He
male,NN,PRP,He
male,NNP,NNS,deities
male,NNP,VBD,controlled
male,HT,NN,now
male,NN,PRP,He
male,JJ,NN,Industry
male,NNP,NN,rape
male,NN,NN,hawke
